Data,Quantidade,CanalPrimario,CanalSecundario,Total,Media
2023-12-02,139072624,138976370.0,96254.0,23360889.99,167.98
2024-04-19,163588000,163124269.0,463731.0,79114284.18,483.62
2024-05-24,156097661,155912971.0,184690.0,68660685.32,439.86
2024-02-10,140720681,140509596.0,211085.0,25506025.17,181.25
2022-04-06,59981242,,,32855707.99,547.77
2022-09-26,60547764,,,37641607.8,621.68
2023-07-11,103725918,,,47312155.16,456.13
2025-11-05,244228339,243289408.0,938931.0,132940979.9,544.33
2024-04-22,144029811,143439675.0,590136.0,79577555.99,552.51
2023-03-02,86677983,,,41061577.42,473.73
2021-10-29,41701438,,,27576227.46,661.28
2021-06-29,21071410,,,15594413.47,740.07
2024-08-20,178032621,177284996.0,747625.0,96817473.58,543.82
2021-07-05,27912645,,,21363890.7,765.38
2025-10-29,191598358,191135188.0,463170.0,90194815.0,470.75
2022-12-03,74330249,,,14519723.24,195.34
2024-11-14,188611807,188107822.0,503985.0,99305405.76,526.51
2022-04-15,31693861,,,6613004.9,208.65
2022-10-29,64579164,,,11818903.75,183.01
2022-07-16,53259941,,,9618118.84,180.59
2025-05-12,194779573,194317210.0,462363.0,121527060.09,623.92
2021-10-14,32063466,,,19049310.24,594.11
2024-07-05,224269387,223509629.0,759758.0,119429101.11,532.53
2025-06-17,194312778,190762302.0,3550476.0,94717443.17,487.45
2022-10-01,67789809,,,14278804.53,210.63
2024-04-20,148987502,148839609.0,147893.0,23075322.64,154.88
2024-09-10,188183450,187603569.0,579881.0,96826403.76,514.53
2023-02-25,70959689,,,12298866.58,173.32
2024-07-28,106110793,106056487.0,54306.0,11368778.15,107.14
2021-05-27,19657635,,,11808201.55,600.69
2023-06-22,95573741,,,37688166.73,394.34
2025-01-04,160243695,160122070.0,121625.0,26537575.0,165.61
2023-09-17,76724056,,,8487455.49,110.62
2021-09-11,26166248,,,5884520.85,224.89
2024-03-16,143375351,143287752.0,87599.0,21407060.94,149.31
2024-05-19,106260399,106192148.0,68251.0,12108633.91,113.95
2025-06-16,197408584,196825270.0,583314.0,127668130.86,646.72
2022-01-04,36844863,,,21770484.4,590.87
2024-10-12,147134548,147039268.0,95280.0,19920788.41,135.39
2021-02-19,11148558,,,8879118.26,796.44
2021-06-01,24536828,,,16855306.14,686.94
2021-01-11,7463448,,,7323638.64,981.27
2024-01-14,90310515,90255633.0,54882.0,10488242.22,116.14
2022-03-12,40760084,,,7917391.77,194.24
2022-09-03,61722696,,,12134158.49,196.59
2024-05-18,147944414,147871128.0,73286.0,21750532.91,147.02
2022-08-26,63369473,,,32404087.81,511.35
2024-07-30,148855341,148609737.0,245604.0,78136072.41,524.91
2024-10-13,113887241,113825878.0,61363.0,12831509.75,112.67
2021-11-16,36477711,,,28278443.2,775.23
